s1_1,s2_1,s3_1,s4_1,s5_1,s6_1,s7_1-,s8_1,s9_1,s10_1,s11_1-,s12_1,s13_1,s14_1-,s15_1,s16_1,s17_1,s18_1,s19_1,s20_1,s21_1-,s22_1,s23_1,s24_1,s25_1-,s1_2,s2_2,s3_2,s4_2,s5_2,s6_2,s7_2,s8_2,s9_2,s10_2,s11_2,s12_2,s13_2,s14_2,s15_2,s16_2,s17_2,s18_2,s19_2,s20_2,s21_2,s22_2,s23_2,s24_2,s25_2,s1_3,s2_3,s3_3,s4_3,s5_3,s6_3,s7_3,s8_3,s9_3,s10_3,s11_3,s12_3,s13_3,s14_3,s15_3,s16_3,s17_3,s18_3,s19_3,s20_3,s21_3,s22_3,s23_3,s24_3,s25_3,s21_1R,s21_2R,s21_3R,s7_1R,s7_2R,s7_3R,s11_1R,s11_2R,s11_3R,s14_1R,s14_2R,s14_3R,s25_1R,s25_2R,s25_3R
3,2,1,3,1,1,2,2,3,2,1,1,3,1,2,2,2,3,1,2,3,1,2,1,2,3,3,2,2,2,2,2,1,3,3,3,1,1,3,2,2,3,1,1,3,2,1,3,1,2,3,2,3,2,1,2,3,3,3,2,3,2,2,3,2,1,3,1,1,2,3,1,2,1,3,3,2,1,2,2,1,1,1,1,1,1,1,2,2,1
2,1,2,3,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,1,1,2,3,1,2,3,2,1,3,2,1,3,1,3,3,1,1,1,3,1,1,3,3,3,2,1,2,1,1,2,1,3,1,3,1,1,2,2,2,3,1,1,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,2
3,2,1,3,1,1,1,1,3,2,1,1,1,1,2,1,3,1,1,2,1,1,1,1,2,3,2,3,3,1,1,3,2,3,1,3,1,1,3,3,1,2,1,1,1,2,1,1,1,2,2,3,3,2,2,3,1,1,3,2,3,2,2,3,2,3,3,2,3,2,2,2,3,1,3,1,2,2,1,1,3,1,1,1,1,1,1,2,2,1
1,1,1,1,1,1,3,1,1,1,3,1,1,3,1,2,2,2,2,2,1,3,3,3,1,3,3,1,2,2,1,2,3,3,3,3,1,1,3,2,1,3,1,1,2,3,1,2,1,2,2,3,3,3,3,2,1,2,2,3,2,2,3,2,3,2,2,2,1,1,2,3,1,2,1,1,1,2,3,2,3,3,1,2,3,1,2,1,2,3
3,1,1,2,1,2,1,2,3,1,2,1,2,1,2,2,3,1,1,3,2,1,2,2,2,3,1,2,2,1,1,3,1,2,1,3,1,1,2,2,1,3,1,1,2,2,1,1,1,2,3,3,3,3,2,1,3,2,3,3,3,1,1,3,2,3,3,1,1,3,3,1,2,2,3,2,2,1,1,1,1,2,1,1,1,2,1,2,2,1
3,2,1,3,2,1,2,1,3,1,1,1,1,1,2,2,3,1,1,2,1,1,1,1,2,3,2,2,3,2,2,2,2,3,2,3,3,2,2,2,1,3,3,1,2,1,1,1,2,2,3,2,1,3,1,2,2,1,3,2,3,1,2,3,2,2,3,1,1,2,3,1,1,1,2,1,3,1,2,2,2,1,1,1,1,2,1,2,2,2
3,2,1,2,2,1,2,1,3,2,1,1,1,1,3,2,3,3,1,3,3,2,3,1,3,3,2,1,3,2,1,3,1,3,1,3,1,1,3,2,3,2,2,1,1,2,1,1,1,2,2,1,2,3,2,1,1,1,2,1,3,2,1,3,1,1,2,2,1,1,3,3,1,1,3,3,2,1,2,1,3,1,1,1,1,1,1,3,2,1
3,2,1,3,2,1,2,1,3,1,1,1,1,2,2,2,3,1,1,2,2,1,1,1,2,3,3,2,3,2,1,2,2,2,1,3,1,2,3,1,2,3,1,1,1,2,1,1,2,3,3,1,1,2,1,1,3,2,3,1,3,1,1,3,1,1,3,1,1,2,2,1,1,1,3,2,2,2,2,2,1,1,1,1,2,1,1,2,1,1
2,1,1,1,3,1,1,3,3,3,1,1,1,1,3,1,3,1,1,3,1,1,2,1,1,3,2,2,2,1,1,3,1,3,1,3,1,1,3,1,2,3,1,1,3,3,1,1,1,3,3,1,1,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,1,1,2,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1
3,3,1,2,1,1,2,1,2,2,1,1,1,2,2,1,3,2,1,3,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,3,1,1,3,1,1,3,2,1,1,2,1,1,1,2,3,3,2,3,2,1,2,3,2,3,3,1,2,2,3,2,2,2,1,2,2,1,3,2,2,2,2,2,2,2,2,1,1,1,2,1,2,2,2,2
3,1,1,2,1,1,1,1,3,2,1,1,1,2,1,1,3,1,1,2,1,1,1,1,1,3,1,1,2,1,1,2,2,3,1,3,1,1,3,2,2,3,1,1,2,2,1,1,1,2,3,3,2,3,1,2,3,2,3,1,3,2,1,2,3,3,3,2,2,3,2,1,2,3,2,1,2,2,1,2,1,1,1,1,2,1,2,1,2,2
3,1,1,3,2,2,1,2,3,2,2,1,2,2,2,2,3,1,2,3,2,1,2,2,2,3,1,1,2,1,3,3,3,3,1,2,1,3,1,1,3,3,1,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,3,3,3,1,1,2,3,3,3,1,1,2,2,1,1,1,2,2,1,2,1,1,2,2,2,1,2,3,2,2,1,2
3,2,1,3,1,2,1,3,3,2,1,1,1,2,1,2,3,2,1,2,2,1,1,2,2,2,3,1,3,3,2,2,2,2,3,3,1,1,2,3,3,3,2,1,2,2,1,2,2,2,3,2,1,2,2,1,2,2,2,2,3,1,1,2,3,2,3,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2
3,2,1,2,1,1,1,1,3,1,1,1,1,1,2,1,3,1,1,2,2,1,1,1,1,3,2,3,3,1,2,3,2,3,2,3,1,1,2,2,2,3,1,1,3,2,1,2,1,3,3,3,1,3,1,1,2,1,3,2,3,2,1,3,2,2,3,1,1,3,2,1,1,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,2
2,2,1,2,2,1,2,2,2,2,1,1,2,1,1,2,3,1,1,2,2,1,1,1,2,2,3,2,3,1,2,2,3,3,3,3,1,1,2,3,2,3,1,1,1,2,1,1,2,2,3,1,1,3,1,1,3,1,3,1,3,1,1,3,2,2,3,1,1,3,3,1,1,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2
3,1,1,2,1,1,1,2,3,3,1,1,1,1,1,2,3,1,1,2,1,1,1,2,1,3,2,1,2,1,1,3,1,2,2,3,1,1,1,2,1,3,1,1,3,2,1,1,1,2,3,1,1,2,1,2,1,3,3,1,3,1,1,3,1,2,3,3,1,2,1,2,1,2,2,1,2,3,1,1,3,1,1,1,1,3,1,1,2,2
3,2,2,3,1,1,1,2,3,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,3,2,1,3,1,1,3,1,3,1,3,1,1,3,2,2,2,1,1,2,2,1,2,1,3,3,1,1,2,2,2,3,3,2,1,3,2,1,3,2,3,3,1,2,1,2,1,3,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2
3,3,1,3,2,1,2,3,3,3,1,1,1,2,3,3,3,1,1,2,2,2,1,3,3,3,1,1,3,1,1,3,1,3,1,3,1,1,3,2,1,3,1,1,3,3,1,1,1,3,3,1,1,3,2,1,2,3,3,1,3,1,1,3,2,3,3,1,1,2,3,1,1,3,1,2,1,1,2,1,2,1,1,1,2,1,1,3,1,3
3,2,1,2,2,1,1,2,2,1,1,1,1,1,2,1,3,1,1,2,1,1,1,2,2,3,1,1,2,1,2,2,3,2,1,3,1,2,2,1,3,3,3,1,2,2,2,1,3,2,3,2,1,2,2,2,3,1,3,2,3,2,1,3,2,3,3,2,1,2,2,1,2,1,2,1,2,2,1,2,1,1,1,1,1,2,1,2,2,2
3,2,2,3,1,1,2,1,3,1,1,1,1,1,1,1,3,1,3,3,1,1,2,1,2,3,1,1,2,2,1,2,2,3,1,3,1,1,3,2,2,3,1,1,2,3,1,1,1,2,3,2,2,2,3,3,2,1,3,1,3,1,1,3,3,2,3,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,2,3
3,1,2,2,1,1,2,1,3,1,1,1,1,1,1,2,3,1,1,2,2,1,2,1,2,3,1,1,2,1,1,3,3,3,1,3,1,1,3,3,1,3,1,1,2,2,1,1,2,1,2,3,3,2,3,2,2,3,2,3,1,2,2,2,3,2,3,2,3,2,2,1,2,2,1,2,2,2,2,1,2,1,1,3,1,1,2,2,3,3
3,1,2,3,1,2,2,1,3,1,1,1,1,1,1,1,3,1,1,2,1,1,2,1,2,3,2,1,3,3,1,2,1,3,1,3,1,1,3,3,2,3,1,1,1,2,1,1,1,1,3,3,1,3,1,1,2,1,3,2,3,1,1,3,2,1,3,1,1,3,3,1,3,1,3,1,2,1,2,2,2,1,1,1,1,1,1,2,3,1
3,3,2,2,2,1,2,2,3,2,1,1,1,1,2,3,3,1,1,2,1,1,1,3,1,3,2,2,2,3,2,2,3,2,2,3,1,3,2,3,3,3,3,2,2,2,1,2,3,1,3,2,2,3,1,2,3,2,2,2,3,1,1,2,2,3,3,1,1,2,3,1,1,1,3,1,2,1,2,2,1,1,1,1,1,2,2,1,3,1
3,1,1,3,1,1,2,1,3,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,3,2,1,3,1,1,3,1,3,2,3,1,1,2,2,2,3,1,1,3,2,1,2,1,2,3,2,2,3,1,1,3,2,3,2,3,1,1,3,2,3,2,1,1,1,3,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,2,2
3,2,1,2,1,1,2,2,3,1,1,1,1,1,2,2,3,1,1,3,2,1,1,2,2,1,1,1,1,2,3,1,2,3,3,3,1,1,3,3,1,3,2,1,1,2,1,2,1,2,3,2,1,3,1,1,2,1,3,1,3,2,1,3,2,1,3,1,1,3,2,1,2,1,3,2,2,2,2,3,2,1,1,1,1,1,1,2,2,1
3,1,1,2,1,1,1,1,3,1,1,1,1,1,2,2,3,1,1,3,1,1,1,1,2,3,2,2,3,1,1,2,3,3,2,3,1,2,3,2,3,3,1,1,3,2,1,1,2,2,3,3,1,3,2,1,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,1,3,1,1,2,2,1,2,2,1,1,1,1,1,1,2,2,3
2,1,1,2,2,1,2,1,2,1,1,2,1,1,1,1,3,2,1,2,2,1,1,1,1,3,2,1,3,1,1,2,2,3,1,3,1,1,3,2,2,3,1,1,3,2,1,1,1,1,2,3,3,3,3,3,2,3,2,3,3,1,3,2,3,3,2,1,1,1,2,1,1,3,1,2,2,2,2,2,2,1,1,1,1,1,2,1,3,3
3,2,1,2,1,1,1,2,3,2,1,1,1,1,1,2,3,1,1,2,1,1,1,1,1,3,3,2,3,2,1,2,2,3,3,3,2,1,2,3,2,2,1,1,2,2,1,1,2,2,3,3,1,3,3,1,1,2,2,3,3,1,2,2,3,3,3,3,1,2,2,3,1,2,2,1,2,2,1,2,3,1,1,1,1,2,2,1,2,2
3,2,1,3,2,2,1,2,3,1,1,1,1,2,1,1,3,1,1,3,1,1,2,2,1,3,2,2,3,2,2,2,3,3,2,3,1,2,2,3,2,2,1,1,1,2,1,1,1,2,3,1,1,3,1,2,2,2,3,1,3,1,1,3,1,1,3,1,1,2,3,1,2,1,2,1,2,1,1,2,2,1,1,1,2,2,1,1,2,2
3,2,2,3,2,2,2,1,2,2,1,1,1,2,2,2,3,1,1,1,2,1,1,2,2,3,3,2,2,3,2,1,3,3,3,3,2,1,2,3,3,2,2,2,2,2,1,2,3,1,2,2,1,2,3,2,2,3,2,2,3,3,2,2,2,1,3,1,1,2,3,1,2,1,2,2,2,1,2,3,2,1,1,1,2,2,2,2,3,2
3,1,1,2,1,1,1,1,2,1,1,1,1,2,1,1,3,2,1,2,2,1,2,1,2,3,1,1,2,1,1,2,1,3,1,3,1,1,3,1,2,3,1,1,2,3,1,2,1,2,3,2,1,2,1,1,2,1,3,1,3,2,1,3,3,1,2,1,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,2
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,1,2,2,1,1,3,2,2,3,2,1,3,3,3,1,3,3,2,1,2,2,3,1,2,2,2,3,1,1,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,1,1,3,1,1,1,1,2,1,1,1,1,1,3,1,1,2,1
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,2,3,1,2,2,2,2,3,1,2,3,3,1,2,1,1,1,1,2,1,1,1,3,2,1,2,1,1,2,1,2,3,3,2,1,3,2,2,3,2,1,1,2,1,1,1,2,NA,3,2,NA,2,2,NA,1,1,NA,1,1,NA,3,2
2,1,2,2,3,1,2,2,1,3,1,1,2,1,3,2,3,2,2,1,2,1,2,3,2,2,1,2,2,2,1,2,2,2,1,3,2,1,3,3,1,2,2,1,3,2,2,2,1,2,3,1,1,3,1,1,2,1,3,1,3,1,1,3,1,2,3,2,1,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2
3,2,1,2,1,2,2,1,3,2,3,1,1,1,2,1,3,2,1,2,2,1,2,1,1,3,2,1,3,1,1,3,2,3,2,3,1,1,2,2,1,3,1,1,3,3,1,1,1,3,3,1,2,3,1,1,3,2,3,1,3,1,2,3,2,3,3,1,1,2,3,1,1,2,2,2,1,1,2,1,1,3,1,1,1,2,1,1,1,2
3,2,2,3,2,1,1,3,3,2,1,1,3,1,2,2,3,1,1,3,2,1,1,2,1,3,2,1,3,1,1,2,1,3,2,3,1,1,3,1,1,3,1,1,2,3,1,1,1,3,3,3,1,1,1,2,3,3,3,2,3,1,3,2,3,1,3,3,2,3,2,1,3,2,3,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1
3,2,2,3,2,1,2,1,3,2,1,1,1,2,1,1,3,1,1,3,1,1,1,1,1,3,1,1,3,1,1,2,1,3,1,3,1,1,3,1,1,3,1,1,2,2,1,1,2,3,3,2,2,3,2,1,2,2,3,3,3,1,1,2,3,2,3,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,1,1,2,1,2,1,1,2
3,2,1,1,2,2,2,3,3,1,2,1,2,3,1,1,3,1,2,1,2,1,1,1,2,3,1,2,3,1,2,3,3,3,1,3,1,3,3,1,2,3,1,1,2,3,1,1,1,3,3,2,1,3,1,1,3,2,3,1,3,1,1,3,3,3,3,1,1,2,2,1,1,2,2,2,1,2,2,1,1,2,1,1,3,1,1,2,1,2
3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,3,2,3,2,1,2,3,3,3,1,2,1,2,2,2,2,3,1,1,2,3,1,2,3,3,3,2,2,3,2,1,2,3,2,2,3,2,2,2,2,2,3,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,1,1,2
3,1,1,3,2,1,2,1,3,2,1,1,1,1,2,2,3,1,1,3,1,1,1,2,2,2,1,1,3,1,1,3,1,2,1,3,1,1,3,1,1,3,1,1,2,2,1,1,2,2,3,2,1,3,2,1,2,2,3,1,3,1,1,2,2,2,3,1,1,2,3,1,2,1,3,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1
3,1,1,3,1,1,2,1,2,1,1,1,1,1,2,2,3,1,2,3,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,3,2,1,2,1,1,1,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,1,1,3,1,2,1,2,2,3,1,2,1,1,2,1,2,3,1
3,2,1,3,1,1,1,3,3,1,1,1,1,1,2,2,3,1,1,2,2,1,1,3,2,3,2,2,3,1,1,2,2,3,1,3,1,1,3,1,2,3,1,1,2,2,1,2,1,3,3,1,1,3,1,1,3,2,3,1,3,1,1,3,1,2,3,1,1,3,2,1,2,1,3,2,2,2,1,2,1,1,1,1,1,1,1,2,1,1
3,2,2,2,1,1,2,2,3,1,1,1,2,1,2,1,3,2,1,3,2,1,1,1,2,3,1,1,2,1,1,3,2,3,1,3,1,1,3,1,1,3,1,1,2,3,1,1,1,2,3,1,1,3,1,1,3,1,3,1,3,1,1,3,2,1,3,1,1,2,2,1,1,1,3,2,1,2,2,1,1,1,1,1,1,1,1,2,2,1
2,1,1,3,2,3,2,1,2,1,1,1,1,1,2,2,3,1,1,2,2,1,2,1,2,3,1,2,3,2,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,2,1,3,3,3,1,2,3,3,3,3,3,2,3,1,2,2,3,3,3,1,1,3,2,1,2,3,3,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1
2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,2,3,2,2,2,2,1,2,1,2,3,2,1,3,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,2,1,2,3,2,2,1,1,2,2,3,3,1,1,1,3,2,2,2,3,1,1,3,2,1,2,3,2,2,1,2,2,1,2,2,1,3,3,1,2,2,2,2
3,3,1,1,1,1,2,2,3,3,1,2,1,1,2,2,3,2,2,3,2,1,2,2,2,3,1,1,2,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,2,2,1,1,1,3,3,2,1,2,1,3,2,3,3,3,3,1,3,2,3,3,3,2,1,1,2,2,3,1,3,2,2,2,2,1,2,1,1,1,1,1,2,2,1,1
3,2,1,3,1,1,2,2,3,2,1,1,1,2,1,1,3,1,1,2,2,1,1,1,2,3,2,1,2,1,2,3,3,2,1,3,1,1,2,1,2,3,1,1,2,2,1,3,2,3,3,1,1,2,2,2,2,2,3,1,2,1,1,3,2,2,3,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,2,2,2,1,2,1,2
2,1,1,2,2,1,3,1,2,1,1,1,1,2,1,1,3,1,1,1,3,1,1,1,2,3,2,2,2,2,2,2,3,3,2,3,1,3,2,2,3,3,1,1,3,3,1,2,3,2,3,3,1,2,2,1,3,2,3,2,2,1,2,3,1,3,3,1,1,2,3,1,3,2,3,3,1,1,3,2,1,1,1,2,2,2,1,2,2,1
3,2,1,3,1,1,1,2,2,1,1,1,1,1,2,3,3,1,1,1,2,1,1,2,2,3,2,1,1,2,3,2,2,2,2,3,1,1,2,2,1,3,1,1,1,2,1,1,1,3,3,2,1,1,1,1,3,2,3,2,3,2,1,2,1,3,3,1,1,3,3,1,1,2,3,2,2,1,1,2,1,1,1,1,1,2,2,2,1,1
3,2,1,3,1,1,1,1,3,1,1,1,1,1,2,1,3,1,1,1,2,1,2,1,2,3,3,2,2,2,2,2,2,3,1,2,1,1,2,1,1,2,1,1,2,2,1,1,2,3,3,1,1,3,1,1,3,2,2,1,3,1,1,3,2,1,3,1,1,2,3,2,1,1,3,2,2,1,1,2,1,1,2,1,1,2,1,2,1,1
3,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,3,2,1,2,1,1,3,1,3,1,3,1,1,3,1,2,3,1,1,2,3,1,2,1,2,3,2,1,2,1,2,3,1,3,2,3,1,1,2,2,2,3,1,1,1,2,1,2,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,2
2,2,3,1,2,1,2,2,3,2,1,1,1,3,2,3,3,2,1,1,2,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,2,2,2,3,1,3,1,2,3,2,1,3,1,1,3,3,1,2,2,2,2,NA,1,2,NA,2,1,NA,1,3,NA,1,1,NA,2
3,2,1,3,2,1,2,2,3,1,1,1,1,1,1,2,3,2,1,1,2,1,1,1,2,2,3,1,2,1,1,3,2,3,1,3,1,1,3,2,1,3,1,1,3,2,1,1,1,2,3,1,1,2,1,2,3,2,3,1,3,1,1,2,2,2,3,1,1,3,3,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2
3,1,1,2,1,2,2,2,3,1,2,1,2,2,1,1,3,1,1,2,1,1,1,1,2,3,2,1,3,1,1,3,2,3,2,3,1,1,2,1,2,3,1,1,2,2,1,1,2,2,3,2,1,3,1,2,3,1,3,1,3,1,1,3,1,1,2,1,1,2,3,1,2,1,3,1,2,1,2,1,1,2,1,1,2,2,1,2,2,1
2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,3,1,1,3,1,2,3,2,3,1,3,1,1,3,1,2,3,1,1,3,2,1,1,1,3,2,3,1,3,2,1,3,3,2,3,3,1,2,2,3,3,2,1,1,2,2,1,1,3,2,2,2,2,1,1,1,2,1,1,2,1,2,2,1,2
2,3,2,2,2,1,2,2,2,3,1,1,1,1,3,2,2,1,1,2,3,1,1,1,3,2,2,1,2,1,2,2,1,3,2,3,1,1,3,3,1,3,1,1,1,2,2,2,1,1,3,2,2,3,3,1,3,3,3,1,3,1,1,3,2,2,3,1,1,3,3,1,2,1,3,3,2,1,2,2,1,1,1,1,1,1,1,3,3,1
3,2,2,3,2,1,2,3,3,1,1,2,2,1,3,1,2,3,2,3,2,2,1,1,1,3,2,2,3,2,1,2,2,3,2,3,1,1,3,2,1,3,1,1,3,2,2,1,2,2,3,1,1,2,1,1,3,2,3,1,3,1,1,3,1,3,3,1,1,2,3,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,2
3,3,1,3,1,1,1,2,3,2,1,1,1,1,1,1,3,1,1,3,1,1,1,2,1,3,1,1,3,2,2,3,1,3,2,3,1,1,3,1,2,3,1,1,3,3,1,1,1,3,3,1,1,3,1,1,2,2,3,1,3,1,1,3,2,2,3,1,1,3,3,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2
3,2,2,2,2,1,2,1,2,1,1,1,1,2,2,2,3,2,1,2,2,1,1,1,2,3,3,1,3,2,1,3,2,2,1,3,1,2,3,1,3,2,3,1,1,3,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,3,3,3,1,1,3,2,1,1,2,1,3,1,1,1,2,1,1,2,1,1
3,2,2,3,1,3,2,1,3,3,1,2,2,1,2,1,2,1,1,3,2,1,2,1,2,3,3,2,3,2,1,3,3,2,3,3,1,2,2,3,3,2,1,1,3,2,1,1,3,2,3,2,1,1,1,1,2,2,2,1,3,1,1,2,2,2,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,2,2,2
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,2,3,2,1,2,2,1,2,1,2,3,1,1,2,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,3,3,1,1,1,3,3,2,2,3,2,1,2,3,2,3,3,1,1,2,2,2,3,1,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,1,2,2,1,2
3,1,1,3,1,1,1,2,3,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,3,2,1,2,1,1,2,1,3,2,3,1,1,3,1,2,3,1,1,3,3,1,1,1,3,3,2,1,2,2,2,3,2,3,2,3,1,2,3,2,2,3,2,1,3,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2
2,1,1,3,2,1,2,3,2,1,1,1,2,1,1,2,3,2,1,3,1,1,2,3,2,3,1,1,2,2,1,2,2,3,1,3,1,1,2,3,2,3,1,1,2,2,1,2,1,2,2,3,1,1,1,1,1,1,2,3,3,1,2,2,3,2,3,1,1,2,3,1,1,1,2,1,2,1,2,2,3,1,1,1,1,2,2,2,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,1,1,3,1,2,1,3,1,1,2,3,2,3,1,1,2,2,1,1,1,2,3,1,2,3,2,2,2,3,3,1,3,2,3,3,2,1,3,1,1,2,3,1,2,1,2,NA,2,1,NA,1,2,NA,1,1,NA,2,1,NA,2,2
3,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,3,1,1,2,2,1,2,1,2,3,1,1,3,1,1,2,2,3,1,3,1,1,2,1,2,3,1,1,2,3,1,1,1,3,3,3,1,3,3,1,2,1,2,3,3,1,1,3,2,1,3,1,1,3,1,3,2,1,2,2,1,3,2,2,2,1,1,1,2,2,1,2,1,2
3,2,1,3,1,1,1,3,3,2,1,1,1,2,1,2,3,1,1,2,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,1,1,3,1,1,3,1,1,2,3,1,2,1,3,3,3,1,3,2,1,2,2,3,2,3,2,1,3,3,2,3,2,1,1,2,1,1,2,2,1,1,2,1,1,2,1,1,1,2,1,1,1,1,2
3,2,2,3,1,1,2,2,3,1,1,1,1,2,2,2,3,1,1,1,2,1,1,1,2,2,2,1,2,1,2,2,1,2,2,3,1,1,2,1,1,3,1,1,2,2,1,2,1,2,3,2,1,1,2,1,2,3,3,3,3,2,1,3,3,2,3,1,1,2,2,2,1,1,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,3
3,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,3,2,2,3,2,1,2,2,3,2,3,1,1,3,2,2,3,1,1,2,2,1,1,2,2,3,2,1,2,2,1,3,3,2,1,3,1,1,3,2,1,3,1,1,2,3,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2
3,1,2,2,1,1,3,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,3,1,1,3,1,2,3,2,2,3,2,3,1,3,1,2,3,1,2,3,1,1,3,2,1,2,1,1,3,2,2,3,3,3,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,3,1,2,1,1,1,1,1,2,1,3,2
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,2,3,1,1,2,1,1,3,1,1,3,2,2,3,2,3,1,3,1,2,3,1,2,3,1,1,3,2,1,2,1,2,2,2,3,3,1,2,2,1,2,2,3,1,2,3,3,2,2,1,1,2,3,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,3,3,1,1,3,1,1,1,3,1,3,3,1,2,2,2,1,1,2,3,3,1,1,3,2,1,3,1,1,1,2,1,1,1,1,3,3,1,3,1,1,3,1,2,1,3,1,1,3,2,2,3,1,1,2,3,1,2,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,3,3
3,1,1,3,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,3,1,1,3,1,1,2,1,3,1,2,1,1,3,2,1,3,1,1,3,3,1,1,1,2,3,1,2,3,1,2,2,3,3,1,3,1,3,2,3,3,3,1,1,2,3,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,2,2
3,2,2,2,2,2,1,2,2,3,1,1,2,2,3,3,3,1,1,3,2,1,3,2,1,3,3,2,3,2,1,2,2,2,3,3,1,1,3,3,3,2,2,1,1,2,2,2,1,2,3,2,2,2,3,2,2,3,2,2,2,1,2,2,2,3,3,1,1,2,2,1,1,2,1,2,2,2,1,2,2,1,1,2,2,1,2,1,2,3
3,1,3,3,3,1,2,3,3,1,1,3,3,1,3,3,3,1,1,3,1,1,2,1,3,2,2,1,2,1,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,2,1,1,1,2,3,3,3,3,2,2,2,1,2,2,3,1,1,3,2,2,2,2,1,2,3,1,1,1,2,1,2,1,2,2,2,1,2,1,1,2,1,3,2,2
